"No_";"Posting Date";"Currency Code";"Currency Factor";"Payment Discount _";"Sell-to Customer No_"
"FVV140895";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI430270700"
"FVV140896";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1431"
"FVV140897";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1308"
"FVV140898";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43003350"
"FVV140899";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1610"
"FVV140900";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43003190"
"FVV140901";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1461"
"FVV140902";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43003325"
"FVV140903";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43003515"
"FVV140904";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43003405"
"FVV140905";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43003425"
"FVV140906";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1330"
"FVV140907";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43003500"
"FVV140908";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1556"
"FVV140909";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1566"
"FVV140910";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1568"
"FVV140911";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43078050"
"FVV140912";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI087"
"FVV140913";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1338"
"FVV140914";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1457"
"FVV140915";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1097"
"FVV140916";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1597"
"FVV140917";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140918";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43088210"
"FVV140919";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140920";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140921";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140922";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1593"
"FVV140923";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1407"
"FVV140924";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1555"
"FVV140925";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1575"
"FVV140926";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1575"
"FVV140927";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1575"
"FVV140928";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1348"
"FVV140929";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1617"
"FVV140930";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43002020"
"FVV140931";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43006010"
"FVV140932";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1390"
"FVV140933";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1358"
"FVV140934";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43090155"
"FVV140935";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1560"
"FVV140936";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1357"
"FVV140937";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1247"
"FVV140938";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI063"
"FVV140939";"30-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI063"
"FVV140940";"02-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1314"
"FVV140941";"02-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1556"
"FVV140942";"02-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1401"
"FVV140943";"02-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1388"
"FVV140944";"02-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1588"
"FVV140945";"02-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1389"
"FVV140946";"02-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1432"
"FVV140947";"02-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43038090"
"FVV140948";"03-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43065065"
"FVV140949";"03-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1472"
"FVV140950";"03-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1539"
"FVV140951";"04-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1615"
"FVV140952";"04-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1556"
"FVV140953";"04-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI004"
"FVV140954";"05-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099570"
"FVV140955";"05-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099640"
"FVV140956";"05-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099570"
"FVV140957";"05-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1407"
"FVV140958";"05-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1566"
"FVV140959";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1366"
"FVV140960";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1175"
"FVV140961";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1100"
"FVV140962";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43015330"
"FVV140963";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099200"
"FVV140964";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1143"
"FVV140965";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43008200"
"FVV140966";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140967";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140968";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140969";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140970";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43003325"
"FVV140971";"06-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1476"
"FVV140972";"09-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43056125"
"FVV140973";"09-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1606"
"FVV140974";"09-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1606"
"FVV140975";"09-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1606"
"FVV140976";"10-06-2014";"USD";"1,35000000000000000000";"0,00000000000000000000";"CLI1508"
"FVV140977";"10-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1401"
"FVV140978";"10-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43088065"
