Año,Mes,Importe Neto ,Familia
2018,octubre,53563.74868537001,Familia MP
2018,octubre,34091.891580145144,Familia P1
2018,octubre,23156.797222767007,Familia P2
2018,octubre,30238.276502837758,Familia P3
2018,octubre,73037.898706257,Familia P4
2018,octubre,198090.724689926,Familia P5
2018,octubre,31177.213775847937,Familia P6
2018,octubre,2816.810217576338,Familia P7
2018,octubre,76.40159443654835,Familia P8
2018,octubre,6238.989901456408,Familia P9
2018,octubre,75.588961989544,Familia PP
2018,octubre,3448.2699412256966,Familia SE
2018,noviembre,2980660.719842093,Familia EL
2018,noviembre,134609.0824761906,Familia MP
2018,noviembre,49839.859342979966,Familia P1
2018,noviembre,37557.31212015409,Familia P2
2018,noviembre,67832.91821810827,Familia P3
2018,noviembre,152601.00093145933,Familia P4
2018,noviembre,169830.25708953393,Familia P5
2018,noviembre,58516.92164317633,Familia P6
2018,noviembre,3458.504811951125,Familia P7
2018,noviembre,1150.2289979015961,Familia P8
2018,noviembre,13995.223137418898,Familia P9
2018,noviembre,8325.580580525277,Familia SE
2018,diciembre,1729152.6934382305,Familia EL
2018,diciembre,57810.418773521174,Familia MP
2018,diciembre,9989.725383780113,Familia P1
2018,diciembre,23693.976532369103,Familia P2
2018,diciembre,30542.514425015826,Familia P3
2018,diciembre,54697.654397297956,Familia P4
2018,diciembre,34295.75455463319,Familia P5
2018,diciembre,39386.05020819739,Familia P6
2018,diciembre,1595.4276500208432,Familia P7
2018,diciembre,366.16077752345103,Familia P8
2018,diciembre,244.02552585438917,Familia P9
2018,diciembre,8235.650908291505,Familia SE
2019,enero,2992521.37262294,Familia EL
2019,enero,153033.28546079883,Familia MP
2019,enero,30109.110285269544,Familia P1
2019,enero,42239.89230980931,Familia P2
2019,enero,31189.72644379504,Familia P3
2019,enero,119347.0622605627,Familia P4
2019,enero,96995.00410982163,Familia P5
2019,enero,55084.026801576816,Familia P6
2019,enero,2381.869196689541,Familia P7
2019,enero,778.0169835870762,Familia P8
2019,enero,4776.190396759045,Familia P9
2019,enero,4092.201815968361,Familia SE
2019,febrero,2462967.696743708,Familia EL
2019,febrero,127500.26035373638,Familia MP
2019,febrero,33932.83045276503,Familia P1
2019,febrero,33710.143638284135,Familia P2
2019,febrero,41802.96791866876,Familia P3
2019,febrero,132065.95419267277,Familia P4
2019,febrero,141985.24156870582,Familia P5
2019,febrero,61717.36182258415,Familia P6
2019,febrero,3666.837759993893,Familia P7
2019,febrero,332.3190574039775,Familia P8
2019,febrero,25294.80214251302,Familia P9
2019,febrero,1398.3222892619478,Familia SE
2019,marzo,3366436.651756601,Familia EL
2019,marzo,116974.64237831868,Familia MP
2019,marzo,37158.21765644389,Familia P1
2019,marzo,31718.49466123169,Familia P2
2019,marzo,43724.91299268065,Familia P3
2019,marzo,76430.55620042588,Familia P4
2019,marzo,48466.80838123771,Familia P5
2019,marzo,32568.752547830507,Familia P6
2019,marzo,2618.8671302426715,Familia P7
2019,marzo,382.3269485552006,Familia P8
2019,marzo,702.9883773115123,Familia P9
2019,marzo,18620.02745638267,Familia SE
2019,abril,3898540.288467625,Familia EL
2019,abril,104132.17002472746,Familia MP
2019,abril,24075.837087626653,Familia P1
2019,abril,35590.604391828034,Familia P2
2019,abril,45969.59536925809,Familia P3
2019,abril,91447.73453026208,Familia P4
2019,abril,45351.5155505269,Familia P5
2019,abril,32489.772911021042,Familia P6
2019,abril,4393.864113439313,Familia P7
2019,abril,373.1294069433925,Familia P8
2019,abril,15917.402581064529,Familia P9
2019,abril,3.533255841848496,Familia PP
2019,abril,1769.3094659685203,Familia SE
2019,mayo,4133897.273411249,Familia EL
2019,mayo,84687.62587533983,Familia MP
2019,mayo,16959.444218138986,Familia P1
2019,mayo,25971.524305569445,Familia P2
2019,mayo,14684.16809089837,Familia P3
2019,mayo,52161.45382905214,Familia P4
2019,mayo,61761.17022035328,Familia P5
2019,mayo,81990.93753020809,Familia P6
2019,mayo,2048.1635860682345,Familia P7
2019,mayo,496.7762539454973,Familia P8
2019,mayo,8824.388255709522,Familia P9
2019,mayo,23.518287689689302,Familia PC
2019,mayo,2514.022289022701,Familia PP
2019,mayo,4253.491273606638,Familia SE
2019,junio,3617839.1100698453,Familia EL
2019,junio,106584.87083142962,Familia MP
2019,junio,8317.394032751969,Familia P1
2019,junio,15957.904663083104,Familia P2
2019,junio,14022.453081630634,Familia P3
2019,junio,90822.94770304229,Familia P4
2019,junio,60584.18207360614,Familia P5
2019,junio,48169.708187449774,Familia P6
2019,junio,8570.272476145823,Familia P7
2019,junio,579.46142548252,Familia P8
2019,junio,5026.908704536475,Familia P9
2019,junio,8877.58906103858,Familia PM
2019,junio,2241.5535411013066,Familia SE
2019,julio,3264875.5705234376,Familia EL
2019,julio,76392.23965303173,Familia MP
2019,julio,24313.024981062234,Familia P1
2019,julio,32747.177542769903,Familia P2
2019,julio,30627.510586390967,Familia P3
2019,julio,75173.19569513375,Familia P4
2019,julio,148804.01968325983,Familia P5
2019,julio,38350.671806295635,Familia P6
2019,julio,997.566222609124,Familia P7
